Average,,,,,,,,,,,,,,,,
 ==================== ,,,,,,,,,,,,,,,,
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,Type
Dendrite Area,0.123115,41.9168,7.06341,9.21224,3.45125,1.57031,8.78906,268.409,38,µm^2,Dendrite,,,,1,
Dendrite Area,0.175925,91.3582,12.1239,18.2602,4.59521,1.98438,15.6719,460.71,38,µm^2,Dendrite,,,,2,
Dendrite Area,0.194197,79.9286,10.9026,15.8212,4.64092,1.35938,14.8125,348.885,32,µm^2,Dendrite,,,,3,
Dendrite Area,0.153118,50.1305,11.1705,12.7854,7.14827,1.625,14.2422,290.433,26,µm^2,Dendrite,,,,4,
Dendrite Area,0.172969,48.6332,12.9142,13.5987,7.70215,2.73438,16.7969,322.854,25,µm^2,Dendrite,,,,5,
Dendrite Area,0.854964,46.716,12.5028,12.0144,4.91185,2.70313,21.9219,312.57,25,µm^2,Dendrite,,,,6,
Dendrite Area,0.178276,49.3361,10.0463,11.6986,4.29755,3,12.8594,311.435,31,µm^2,Dendrite,,,,7,
Dendrite Area,0.416758,43.0516,10.7157,11.1472,5.41854,3.64063,15.0156,310.755,29,µm^2,Dendrite,,,,8,
Dendrite Area,0.419847,33.5051,11.2706,9.31506,7.75402,4.48438,16.4531,236.682,21,µm^2,Dendrite,,,,9,
Dendrite Area,0.27863,57.0278,13.4078,14.9939,7.22071,2.28125,18.6484,348.603,26,µm^2,Dendrite,,,,10,
Dendrite Area,0.176499,35.785,7.57926,9.17363,4.21462,1.60156,8.15625,318.329,42,µm^2,Dendrite,,,,11,
Dendrite Area,0.285595,41.9375,10.8468,11.2917,6.51185,1.48438,17.1875,336.25,31,µm^2,Dendrite,,,,12,
Dendrite Area,0.141912,42.9005,15.0666,13.0749,12.5078,2.85156,23.0781,301.332,20,µm^2,Dendrite,,,,13,
Dendrite Area,2.27004,47.2405,15.2358,12.6887,13.5771,4.17188,22,228.537,15,µm^2,Dendrite,,,,14,
Dendrite Area,0.436007,40.4541,11.8629,11.747,5.65009,2.54688,18.6719,320.298,27,µm^2,Dendrite,,,,15,
Dendrite Branch Depth,0,3,1,0.858395,1,0.000976563,1.75098,38,38,,Dendrite,,,,1,
Dendrite Branch Depth,0,7,3.18421,2.40455,3,1.00195,5.75195,121,38,,Dendrite,,,,2,
Dendrite Branch Depth,0,5,1.5625,1.41283,1,0.751953,2.00195,50,32,,Dendrite,,,,3,
Dendrite Branch Depth,0,4,1.53846,1.15128,1,1.00195,2.00195,40,26,,Dendrite,,,,4,
Dendrite Branch Depth,0,2,1.16,0.783837,1,1.00098,2,29,25,,Dendrite,,,,5,
Dendrite Branch Depth,0,6,2.44,2.15555,2,1.00195,4.00195,61,25,,Dendrite,,,,6,
Dendrite Branch Depth,0,6,1.93548,1.75858,2,1.00195,2.50195,60,31,,Dendrite,,,,7,
Dendrite Branch Depth,0,5,1.75862,1.4301,2,1.00195,2.00195,51,29,,Dendrite,,,,8,
Dendrite Branch Depth,0,3,1.33333,1.12687,1,0.000976563,2.00098,28,21,,Dendrite,,,,9,
