frame,phenotype,cell,sample,intesnsity
1,WT,cPRC,2,1.000070404
1,WT,cPRC,3,0.929092952
1,WT,cPRC,4,0.976163399
1,WT,cPRC,5,0.876511359
1,WT,cPRC,6,0.935758352
1,WT,cPRC,7,0.907982142
1,WT,cPRC,8,0.991734914
1,WT,cPRC,9,1.014589784
1,WT,cPRC,10,1.014202125
1,WT,cPRC,11,1.033400782
1,WT,cPRC,12,1.088414997
1,WT,cPRC,13,1.011199737
1,WT,cPRC,14,0.927737986
1,WT,cPRC,15,0.920624074
1,WT,cPRC,16,1.073456448
1,WT,cPRC,17,1.020370273
1,WT,cPRC,18,1.062953837
1,WT,cPRC,19,1.041060726
1,WT,cPRC,20,1.119782062
1,WT,cPRC,21,1.197104343
1,WT,cPRC,22,1.012098637
1,WT,cPRC,23,1.085361162
1,WT,cPRC,24,1.349138993
1,WT,cPRC,25,1.254311762
1,WT,cPRC,26,1.06948127
1,WT,cPRC,27,1.104507996
1,WT,cPRC,28,0.999327769
1,WT,cPRC,29,0.907877186
1,WT,cPRC,30,0.948765479
1,WT,cPRC,31,1.079844631
1,WT,cPRC,32,1.077437665
1,WT,cPRC,33,1.083533134
1,WT,cPRC,34,1.225851326
1,WT,cPRC,35,1.071802787
1,WT,cPRC,36,1.000964085
1,WT,cPRC,37,1.026135417
1,WT,INNOS,38,0.840061264
1,WT,INNOS,39,1.030487021
1,WT,INNOS,40,0.992308641
1,WT,INNOS,41,0.760446394
1,WT,INNOS,42,0.937400966
1,WT,INNOS,43,0.986575186
1,WT,INNOS,44,1.011315591
1,WT,INNOS,45,0.931690761
1,WT,INNOS,46,0.978530078
1,WT,INNOS,47,1.001140928
1,WT,INNOS,48,1.016434126
1,WT,INNOS,49,1.097167634
1,WT,INNOS,50,0.714360471
1,WT,INNOS,51,0.958347313
1,WT,INNOS,52,0.940468098
1,WT,INNOS,53,1.024801758
1,WT,INNOS,54,0.959375332
1,WT,INNOS,55,1.052946561
1,WT,INNOS,56,1.559492165
1,WT,INNOS,57,1.205422705
1,WT,INNOS,58,0.821530185
