Time,aSyn,aSyn,aSyn,aSyn-DMSO,aSyn-DMSO,aSyn-DMSO,aSyn_D2_13uM,aSyn_D2_13uM,aSyn_D2_13uM,aSyn_D3_0.67mM,aSyn_D3_0.67mM,aSyn_D3_0.67mM
0.000000,654.666700,638.666700,686.666700,264.666700,380.666700,423.666700,436.000000,461.000000,672.000000,572.333300,519.333300,433.333300
0.2635833,1151.333000,1006.333000,863.333300,792.666700,859.666700,813.666700,826.666700,904.666700,1184.667000,889.666700,947.666700,955.666700
0.5271667,1173.000000,1104.000000,1082.000000,910.333300,1222.333000,967.333300,921.333300,1272.333000,1503.333000,1341.000000,1280.000000,1342.000000
0.790750,2541.667000,2190.667000,2450.667000,1062.000000,1273.000000,1212.000000,1383.333000,1278.333000,1480.333000,1507.333000,1219.333000,1483.333000
1.054306,3922.000000,3573.000000,3790.000000,1284.000000,1385.000000,2555.000000,2725.000000,1801.000000,2425.000000,1488.667000,1169.667000,1363.667000
1.317889,4716.333000,4638.333000,4670.333000,2456.333000,2869.333000,3576.333000,3496.333000,3229.333000,3523.333000,1381.667000,1226.667000,1383.667000
1.581472,5322.333000,5424.333000,5323.333000,2954.667000,3985.667000,4476.667000,4046.667000,3953.667000,4367.667000,1205.000000,1296.000000,1218.000000
1.845028,5813.000000,6041.000000,5794.000000,3661.000000,4463.000000,4758.000000,4520.667000,4618.667000,5027.667000,1289.333000,1279.333000,1333.333000
2.108611,5983.333000,6325.333000,6227.333000,4345.333000,5133.333000,5290.333000,4838.667000,5061.667000,5477.667000,1298.667000,1272.667000,1308.667000
2.372195,6147.333000,6584.333000,6351.333000,4369.333000,5363.333000,5436.333000,5283.333000,5502.333000,5869.333000,1281.667000,1218.667000,1365.667000
2.635778,6490.000000,6772.000000,6380.000000,4589.667000,5658.667000,5654.667000,5700.333000,5743.333000,6239.333000,1226.000000,1239.000000,1201.000000
2.899361,6564.667000,6970.667000,6815.667000,4986.333000,5891.333000,5747.333000,5731.667000,6025.667000,6631.667000,1389.667000,1190.667000,1216.667000
3.162945,6459.667000,6837.667000,6665.667000,4715.667000,5887.667000,5897.667000,6045.333000,6075.333000,6781.333000,1268.667000,1089.667000,1312.667000
3.426500,6535.000000,7046.000000,6692.000000,4826.333000,5895.333000,5950.333000,5985.000000,6173.000000,6889.000000,1272.333000,1167.333000,1195.333000
3.690083,6763.333000,7218.333000,6807.333000,4885.000000,6174.000000,5947.000000,6319.000000,6479.000000,7049.000000,1253.000000,1103.000000,1255.000000
3.953667,6983.000000,7496.000000,7184.000000,5446.667000,6389.667000,6001.667000,6567.667000,6633.667000,7243.667000,1366.333000,1204.333000,1336.333000
4.217250,7088.667000,7547.667000,7449.667000,5547.000000,6431.000000,6408.000000,6637.667000,6737.667000,7496.667000,1405.000000,1228.000000,1267.000000
4.480805,7148.333000,7469.333000,7184.333000,5771.000000,6498.000000,6518.000000,6859.000000,6973.000000,7536.000000,1323.667000,1243.667000,1271.667000
4.744389,7179.000000,7537.000000,7177.000000,5327.667000,6487.667000,6650.667000,6858.667000,6979.667000,7613.667000,1377.667000,1070.667000,1382.667000
5.007972,7300.000000,7708.000000,7333.000000,5639.333000,6743.333000,6666.333000,6962.000000,7051.000000,7664.000000,1389.000000,1286.000000,1400.000000
5.271555,6943.333000,7555.333000,7296.333000,5761.667000,6496.667000,6613.667000,6905.333000,7029.333000,7505.333000,1356.000000,1251.000000,1465.000000
5.535139,7116.000000,7746.000000,7280.000000,5517.000000,6647.000000,6648.000000,6996.000000,6968.000000,7474.000000,1253.000000,1306.000000,1389.000000
5.798722,7065.000000,7830.000000,7211.000000,5659.667000,6782.667000,6593.667000,6977.667000,7105.667000,7547.667000,1319.333000,1465.333000,1504.333000
6.062305,7402.333000,7990.333000,7388.333000,5811.000000,6821.000000,6709.000000,7214.333000,7183.333000,7825.333000,1534.000000,1404.000000,1526.000000
6.325861,7709.000000,8055.000000,7490.000000,5738.000000,6980.000000,6816.000000,7274.667000,7413.667000,7772.667000,1573.667000,1515.667000,1681.667000
6.589445,7727.667000,7992.667000,7686.667000,6012.667000,7033.667000,6970.667000,7309.333000,7317.333000,7861.333000,1589.000000,1615.000000,1602.000000
6.853028,7665.333000,8124.333000,7753.333000,5923.000000,7095.000000,6866.000000,7285.000000,7505.000000,7906.000000,1629.667000,1626.667000,1664.667000
