Time::Relative Time!!R,Channel1_R2_Area::TV1-SR_R2_Area!!R,Channel1_R2_IntensityMean::TV1-SR_R2_IntensityMean!!R,Channel1_R3_Area::TV1-SR_R3_Area!!R,Channel1_R3_IntensityMean::TV1-SR_R3_IntensityMean!!R,Channel1_R4_Area::TV1-SR_R4_Area!!R,Channel1_R4_IntensityMean::TV1-SR_R4_IntensityMean!!R,Channel1_R5_Area::TV1-SR_R5_Area!!R,Channel1_R5_IntensityMean::TV1-SR_R5_IntensityMean!!R,Channel1_R6_Area::TV1-SR_R6_Area!!R,Channel1_R6_IntensityMean::TV1-SR_R6_IntensityMean!!R,Channel1_R7_Area::TV1-SR_R7_Area!!R,Channel1_R7_IntensityMean::TV1-SR_R7_IntensityMean!!R,Channel1_R8_Area::TV1-SR_R8_Area!!R,Channel1_R8_IntensityMean::TV1-SR_R8_IntensityMean!!R,Channel1_R10_Area::TV1-SR_R10_Area!!R,Channel1_R10_IntensityMean::TV1-SR_R10_IntensityMean!!R,Channel1_R11_Area::TV1-SR_R11_Area!!R,Channel1_R11_IntensityMean::TV1-SR_R11_IntensityMean!!R
,,,,,,,,,,,,,,,,,,
0,37920297.67,563.5505882,14231264.66,527.5350052,36433227.18,65.31183673,26410372.03,414.1311937,53980659.04,684.7986226,20298512.28,379.4014652,47378066.04,117.7733836,12446780.06,351.8960573,26559079.08,752.0974244
0.038273611,37920297.67,588.3086275,14231264.66,455.6969697,36433227.18,75.17265306,26410372.03,538.0765766,53980659.04,696.7955923,20298512.28,491.6117216,47378066.04,130.4639046,12446780.06,363.3596177,26559079.08,282.9664054
0.088273611,37920297.67,570.1058824,14231264.66,489.753396,36433227.18,93.06040816,26410372.03,511.9301802,53980659.04,646.9774105,20298512.28,337.4673993,47378066.04,148.7278719,12446780.06,322.6152927,26559079.08,328.787794
0.138269722,37920297.67,533.4180392,14231264.66,525.1797283,36433227.18,83.86367347,26410372.03,447.6289414,53980659.04,724.0440771,20298512.28,870.0014652,47378066.04,116.8041431,12446780.06,335.5854241,26559079.08,377.3197088
0.188273889,37920297.67,606.6113725,14231264.66,472.8474399,36433227.18,63.52285714,26410372.03,411.8699324,53980659.04,667.7049587,20298512.28,661.1076923,47378066.04,128.6625863,12446780.06,352.1290323,26559079.08,280.7620381
0.238273889,37920297.67,566.6517647,14231264.66,540.2748171,36433227.18,84.55102041,26410372.03,600.428491,53980659.04,736.6782369,20298512.28,673.2761905,47378066.04,143.0524168,12446780.06,360.4432497,26559079.08,278.1976484
0.288274444,37920297.67,553.3909804,14231264.66,467.6071055,36433227.18,76.84163265,26410372.03,575.0771396,53980659.04,755.700551,20298512.28,568.6549451,47378066.04,122.7363465,12446780.06,325.4958184,26559079.08,618.0078387
0.338269722,37920297.67,552.08,14231264.66,504.4514107,36433227.18,55.31306122,26410372.03,494.7550676,53980659.04,704.4011019,20298512.28,508.0241758,47378066.04,132.710295,12446780.06,373.8363202,26559079.08,320.1858903
0.388274167,37920297.67,526.8419608,14231264.66,757.5120167,36433227.18,95.74,26410372.03,611.9786036,53980659.04,811.469697,20298512.28,570.4798535,47378066.04,125.5596359,12446780.06,304.5089606,26559079.08,229.3180291
